ProjectCode,ReportMonth,State,OriginalCost,RevisedCost,Expenditure,Physical Progress,Agency,DateInconsistency,ProjectAgeDays,ApprovalToStartDays,CurrentExpenditureRatio,RobustCurrentExpenditurePct,RobustCurrentGap,HasRevisedCost,HasRevisedDoc,ProgressVelocity,ProgressScheduleGap,ExpenditureProgressGap,CostGrowth,ScheduleElapsedRatio,RemainingPlannedDays,ElapsedDays,PlannedDurationDays,ProgressBehindSchedule10,ProgressBehindSchedule20,ProgressBehindSchedule30,NegativeProgressVelocity,NoProgress,LateStageLowProgress,ExpenditureAhead10,ExpenditureAhead20,ExpenditureAhead30,OverallRiskEvent
400101,2026-04-01,Andhra Pradesh,397.41,697.39,619.46,98.3,Water Resources-AP,False,7670.0,0.0,88.82547785313814,88.82547785313814,9.474522146861858,1,1,,,-9.474522146861858,,,-7670.0,7670.0,0.0,0,0,0,0,0,0,0,0,0,0
400102,2026-04-01,Telangana,736.13,949.87,971.47,97.0,Irrigation and CAD-TG,False,7670.0,3287.0,102.27399538884268,100.0,-3.0,1,1,,-103.0,5.273995388842678,,2.0,-4383.0,7670.0,3287.0,1,1,1,0,0,0,0,0,0,0
400103,2026-04-01,Telangana,1331.3,5940.09,4491.08,92.0,Irrigation and CAD-TG,False,7395.0,3562.0,75.60626185798532,75.60626185798532,16.393738142014683,1,1,,-108.0,-16.393738142014683,,2.0,-3833.0,7395.0,3562.0,1,1,1,0,0,0,0,0,0,0
400111,2026-04-01,Chhattisgarh,459.97,727.04,618.85,72.0,Water Resources-CT,False,6574.0,0.0,85.11911311619718,85.11911311619718,-13.119113116197184,1,1,,,13.119113116197184,,,-6574.0,6574.0,0.0,0,0,0,0,0,0,1,0,0,0
400115,2026-04-01,Madhya Pradesh,751.03,893.35,814.02,75.0,Water Resources-MP,False,6299.0,275.0,91.11994179213075,91.11994179213075,-16.119941792130746,1,1,,-125.0,16.119941792130746,,2.0,-6024.0,6299.0,275.0,1,1,1,0,0,0,1,0,0,0
400116,2026-04-01,Madhya Pradesh,1229.15,1399.7,2190.05,81.42,Water Resources-MP,False,6940.0,0.0,156.46567121526041,100.0,-18.58,1,1,,,75.04567121526041,,,-6940.0,6940.0,0.0,0,0,0,0,0,0,1,1,1,0
400119,2026-04-01,Offshore,3190.69,3375.9,3123.2,90.0,Oil and Natural Gas Corporation Limited [ONGC],False,3774.0,0.0,92.51458870227198,92.51458870227198,-2.514588702271979,1,1,,,2.514588702271979,,,-3774.0,3774.0,0.0,0,0,0,0,0,0,0,0,0,1
400120,2026-04-01,Andhra Pradesh,34012.0,34012.0,33006.7,96.5,Oil and Natural Gas Corporation Limited [ONGC],False,3683.0,0.0,97.04427848994472,97.04427848994472,-0.5442784899447162,0,1,,,0.5442784899447162,,,-3683.0,3683.0,0.0,0,0,0,0,0,0,0,0,0,0
400121,2026-04-01,Karnataka,1043.63,1043.63,609.8,63.1,National Mineral Development Corporation Limited [NMDC],False,669.0,3500.0,58.43066987342256,58.43066987342256,4.669330126577442,0,0,,43.98571428571429,-4.669330126577442,,0.1911428571428571,2831.0,669.0,3500.0,0,0,0,0,0,0,0,0,0,0
400136,2026-04-01,Jharkhand,2660.0,2660.0,16.1,16.77,Ministry of Coal,False,761.0,0.0,0.605263157894737,0.605263157894737,16.164736842105263,0,0,,,-16.164736842105263,,,-761.0,761.0,0.0,0,0,0,0,0,0,0,0,0,0
400138,2026-04-01,Jharkhand,973.5,973.5,440.75,24.86,Ministry of Coal,False,2069.0,0.0,45.27478171545968,45.27478171545968,-20.414781715459682,0,0,,,20.41478171545968,,,-2069.0,2069.0,0.0,0,0,0,0,0,0,1,1,0,0
