feature,mean_abs_shap
categorical__Agency_National Highways Authority of India [NHAI],0.3397632
numeric__CurrentExpenditureRatio,0.3082286
numeric__missingindicator_Prev_Expenditure,0.27229768
numeric__PlannedDurationDays,0.23158732
numeric__Expenditure,0.19941
numeric__Prev_RobustGap,0.19687673
numeric__RobustCurrentExpenditurePct,0.18942855
numeric__ScheduleElapsedRatio,0.12423786
numeric__RobustCurrentGap,0.116243504
numeric__Physical Progress,0.11506948
numeric__ElapsedDays,0.09949091
numeric__OriginalCost,0.09380599
numeric__HasPreviousRevisedDoc,0.09118269
numeric__ProjectAgeDays,0.09003837
numeric__CurrentGapVsPreviousGap,0.08830362
numeric__RevisedCost,0.086309455
numeric__ProgressScheduleGap,0.076068155
numeric__ProgressVelocity,0.071064375
numeric__Prev_PhysicalProgress,0.06979256
numeric__Prev_RevisedCost,0.06595118
categorical__State_Jharkhand,0.06409581
numeric__RemainingPlannedDays,0.059446357
categorical__State_Uttar Pradesh,0.05849964
numeric__Prev_ExpenditureRatio,0.04903669
numeric__Prev_Expenditure,0.040662214
numeric__Prev_OriginalCost,0.035522096
categorical__Agency_NHIDCL,0.034035176
numeric__Prev_ProgressRemaining,0.03157364
numeric__missingindicator_Prev_OriginalCost,0.024309877
numeric__missingindicator_Prev_RevisedCost,0.022261472
categorical__State_Gujarat,0.021020455
numeric__Prev_RobustExpenditurePct,0.018382622
categorical__Agency_NHAI,0.017100662
categorical__Agency_East Coast Railway [ECoR] - II,0.017056705
categorical__State_Madhya Pradesh,0.0150516825
categorical__Agency_Airport Authority of India [AAI],0.014941106
"categorical__Agency_Medical Education, Ministry of Health and Family Welfare",0.014014819
categorical__Agency_North Western Railway [NWR],0.013714107
categorical__Agency_Ministry of Coal,0.010863727
categorical__Agency_Power Grid Corporation of India Limited [POWERGRID],0.008891792
numeric__missingindicator_Prev_ExpenditureRatio,0.008775968
categorical__State_Assam,0.008192818
categorical__State_Delhi,0.006535737
numeric__HasPreviousRevisedCost,0.006511933
categorical__State_Maharashtra,0.0059591047
categorical__State_Odisha,0.00573355
categorical__Agency_Indian Railway Construction International Limited [IRCON],0.0050928104
categorical__Agency_MinistryofPetroleumNaturalGas,0.0050492603
"categorical__State_Multi-States (UttarPradesh,Uttarakhand)",0.0049384474
categorical__State_Telangana,0.004699854
categorical__Agency_Steel Authority of India Limited [SAIL],0.0031050213
categorical__State_Chhattisgarh,0.0029956612
categorical__State_Rajasthan,0.0026860859
categorical__State_Uttarakhand,0.002560552
categorical__State_Kerala,0.0018359738
categorical__Agency_Ministry of Petroleum & Natural Gas,0.0016915262
categorical__State_Karnataka,0.0015307267
categorical__State_West Bengal,0.0014317418
categorical__State_Bihar,0.0013978278
categorical__State_Tamil Nadu,0.001175882
categorical__Agency_South Central Railway [SCR] - II,0.0011658126
categorical__State_Haryana,0.001083927
numeric__DateInconsistencyFlag,0.000884935
categorical__State_Punjab,0.0008369034
categorical__State_Andhra Pradesh,0.00078830996
"categorical__State_Multi-States(Madhya Pradesh,Rajasthan)",0.00076496514
categorical__Agency_Western Coalfields Limited [WCL],0.0007445247
categorical__Agency_MoRTH,0.0007252936
categorical__Agency_Central Railway [CR] - II,0.0006803235
"categorical__State_Jammu andKashmir",0.00048625522
categorical__Agency_Employee's State Insurance Company [ESIC],0.0003277724
categorical__Agency_South Western Railway [SWR] - II,0.00032538985
categorical__Agency_Oil and Natural Gas Corporation Limited [ONGC],0.00030627046
categorical__Agency_Ministry of Housing & Urban Affairs,0.00025116
"categorical__State_Multi-States(Bihar, UttarPradesh)",0.00023881841
"categorical__State_Multi-States(Madhya Pradesh,Uttar Pradesh)",0.00020497979
categorical__State_Manipur,0.00017836984
numeric__Prev_CostGrowth,0.0001643802
categorical__Agency_South East Central Railway [SECR] - II,0.0
categorical__Agency_Sikkim University,0.0
categorical__Agency_Singareni Collieries Company Limited [SCCL],0.0
categorical__Agency_Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,0.0
categorical__Agency_SR-ERS,0.0
categorical__Agency_SECL - CIL,0.0
categorical__Agency_South East Central Railway,0.0
categorical__Agency_South Eastern Railway [SER] - I,0.0
categorical__Agency_Southern Railway [SR] - I,0.0
"categorical__State_Multi-States(Bihar, WestBengal)",0.0
"categorical__State_Multi-States(Bihar, Odisha,West Bengal)",0.0
"categorical__State_Multi-States(Bihar, MadhyaPradesh,Rajasthan, UttarPradesh)",0.0
"categorical__State_Multi-States(Bihar, Jharkhand)",0.0
"categorical__State_Multi-States(Bihar, Delhi,Jharkhand, UttarPradesh, WestBengal)",0.0
"categorical__State_Multi-States(Assam, Manipur,Meghalaya,Mizoram,Nagaland, Tripura)",0.0
"categorical__State_Multi-States(Assam, Bihar,West Bengal)",0.0
"categorical__State_Multi-States(Assam, Bihar,Jharkhand,Odisha, WestBengal)",0.0
"categorical__State_Multi-States(Assam,Nagaland)",0.0
"categorical__State_Multi-States(Assam,Meghalaya)",0.0
"categorical__State_Multi-States(ArunachalPradesh, Sikkim)",0.0
"categorical__State_Multi-States(ArunachalPradesh, Assam,Manipur,Meghalaya,Mizoram,Nagaland, Sikkim,Tripura, WestBengal)",0.0
"categorical__State_Multi-States(ArunachalPradesh, Assam)",0.0
"categorical__State_Multi-States(Andhra Pradesh,Telangana)",0.0
"categorical__State_Multi-States(HimachalPradesh, Punjab)",0.0
"categorical__State_Multi-States(HimachalPradesh,Uttarakhand)",0.0
"categorical__State_Multi-States(Haryana, UttarPradesh)",0.0
"categorical__State_Multi-States(Haryana, Punjab,Rajasthan)",0.0
"categorical__State_Multi-States(Haryana, Punjab)",0.0
"categorical__State_Multi-States(Haryana,Rajasthan)",0.0
"categorical__State_Multi-States(Haryana,Himachal Pradesh)",0.0
"categorical__State_Multi-States(Gujarat, MadhyaPradesh, UttarPradesh)",0.0
"categorical__State_Multi-States(Gujarat, MadhyaPradesh)",0.0
"categorical__State_Multi-States(Gujarat, Haryana,Rajasthan)",0.0
"categorical__State_Multi-States(Gujarat, Haryana,Punjab,Rajasthan)",0.0
"categorical__State_Multi-States(Gujarat, Haryana,Maharashtra,Rajasthan, UttarPradesh)",0.0
"categorical__State_Multi-States(Gujarat,Rajasthan)",0.0
"categorical__State_Multi-States(Gujarat,Maharashtra)",0.0
"categorical__State_Multi-States(Dadra & NagarHaveli and Daman& Diu, Gujarat,Maharashtra)",0.0
categorical__Agency_SECR,0.0
categorical__Agency_South Eastern Coalfields Limited [SECL],0.0
categorical__Agency_South Eastern Railway - JH,0.0
"categorical__State_Multi-States(Odisha, WestBengal)",0.0
"categorical__State_Multi-States(Puducherry, TamilNadu)",0.0
"categorical__State_Multi-States(Madhya Pradesh,Maharashtra)",0.0
"categorical__State_Multi-States(Maharashtra,Telangana)",0.0
"categorical__State_Multi-States(Karnataka, TamilNadu)",0.0
"categorical__State_Multi-States(Karnataka,Telangana)",0.0
"categorical__State_Multi-States(Karnataka,Maharashtra,Telangana, UttarPradesh)",0.0
"categorical__State_Multi-States(Kerala, TamilNadu)",0.0
"categorical__State_Multi-States(Karnataka,Kerala)",0.0
"categorical__State_Multi-States(Jharkhand, WestBengal)",0.0
"categorical__State_Multi-States(Jharkhand, UttarPradesh)",0.0
"categorical__State_Multi-States(Jharkhand,Odisha)",0.0
"categorical__State_Multi-States(Jammu andKashmir, Punjab)",0.0
categorical__State_Puducherry,0.0
categorical__State_PAN India,0.0
"categorical__State_Multi-States(Karnataka,Maharashtra)",0.0
categorical__State_Nagaland,0.0
"categorical__State_Multi-States (UttarPradesh, WestBengal)",0.0
"categorical__State_Multi-States (Goa,Karnataka)",0.0
"categorical__State_Multi-States (Delhi,Uttar Pradesh)",0.0
"categorical__State_Multi-States (Delhi,Rajasthan)",0.0
"categorical__State_Multi-States (Delhi,Haryana)",0.0
"categorical__State_Multi-States (Delhi,Gujarat, MadhyaPradesh,Maharashtra,Rajasthan)",0.0
"categorical__State_Multi-States(Sikkim, WestBengal)",0.0
"categorical__State_Multi-States(Rajasthan, UttarPradesh)",0.0
numeric__missingindicator_ScheduleElapsedRatio,0.0
"categorical__State_Multi-States(Andhra Pradesh,Tamil Nadu)",0.0
"categorical__State_Multi-States(Andhra Pradesh,Odisha)",0.0
"categorical__State_Multi-States(Andhra Pradesh,Karnataka)",0.0
"categorical__State_Multi-States(Andhra Pradesh,Chhattisgarh,Odisha)",0.0
"categorical__State_Multi-States(Andhra Pradesh,Chhattisgarh,Jharkhand,Maharashtra,Odisha)",0.0
categorical__State_Offshore,0.0
"categorical__State_Multi-States(Andhra Pradesh,Bihar,Chhattisgarh,Jharkhand,Madhya Pradesh,Maharashtra,Odisha,Telangana, UttarPradesh, WestBengal)",0.0
categorical__State_Mizoram,0.0
categorical__State_Meghalaya,0.0
categorical__State_Ladakh,0.0
"categorical__State_Multi-States(Punjab,Rajasthan)",0.0
categorical__Agency_Bharat Petroleum Corporation Limited [BPCL],0.0
categorical__Agency_Bharat Coking Coal Limited [BCCL],0.0
categorical__Agency_Bengaluru Metro Rail,0.0
categorical__Agency_Banaras Hindu University,0.0
categorical__Agency_BSNL,0.0
categorical__Agency_BCCL,0.0
categorical__Agency_Adani Transmission Limited,0.0
categorical__State_Tripura,0.0
categorical__State_Sikkim,0.0
categorical__Agency_Chennai Petroleum Corporation Limited [CPCL],0.0
categorical__Agency_Chennai Metro Rail Limited [CMRL],0.0
categorical__Agency_CentralRailway,0.0
categorical__Agency_Central University of Punjab,0.0
categorical__Agency_Central Tribal University of Andhra Pradesh,0.0
categorical__Agency_Central Railway,0.0
categorical__Agency_Central Organisation for Railway Electrification [CORE],0.0
categorical__Agency_CSPCC Projects,0.0
categorical__Agency_CORE,0.0
categorical__Agency_CCL - CIL,0.0
categorical__Agency_CAO/C/SER,0.0
categorical__Agency_CAO/C/SECR,0.0
categorical__Agency_CAO/C/NR,0.0
categorical__Agency_CAO/C/NCR,0.0
categorical__Agency_CAO/C/II/NR,0.0
"categorical__State_Multi-States(Chhattisgarh,Odisha)",0.0
"categorical__State_Multi-States(Chhattisgarh,Maharashtra)",0.0
categorical__Agency_South Eastern Central Railway,0.0
categorical__Agency_Department of Water Resources-PB,0.0
categorical__Agency_Department of water resources-MH - II,0.0
categorical__Agency_ECL - CIL,0.0
"categorical__Agency_Department of Water Resources, River Development & GR",0.0
categorical__Agency_Department of Telecommunications,0.0
categorical__Agency_Department of Sports & Youth Affairs,0.0
categorical__Agency_Delhi University,0.0
categorical__Agency_Department of Water Resources-MH,0.0
categorical__Agency_Deendayal Port Trust [DPT],0.0
categorical__Agency_Deendayal Port Trust,0.0
categorical__Agency_Damodar Valley Corporation,0.0
categorical__Agency_DFCCIL,0.0
categorical__Agency_Construction NER,0.0
"categorical__Agency_Indian Institute of Technology, Indore",0.0
"categorical__Agency_Indian Institute of Technology, Bhubaneshwar",0.0
categorical__Agency_Department of Water Resources-JH,0.0
"categorical__Agency_Indian Institute of Technology, Bhilai",0.0
"categorical__Agency_Indian Institute of Management, Sirmaur",0.0
categorical__Agency_INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,0.0
"categorical__Agency_Indian Institute of Management, Jammu",0.0
categorical__Agency_Hindustan Petroleum Corporation Limited,0.0
categorical__Agency_Hindustan Copper Limited [HCL],0.0
categorical__Agency_Gujarat Metro Rail Corporation Limited [GMRCL],0.0
categorical__Agency_Hindustan Petroleum Corporation Limited [HPCL],0.0
categorical__Agency_GM/C/ NFR,0.0
categorical__Agency_Eastern Railway [ER] - I,0.0
categorical__Agency_Eastern Coal Fields Limited [ECL],0.0
categorical__Agency_East Central Railway [ECR] - I,0.0
categorical__Agency_MIS MoCoal Integration Logins,0.0
categorical__Agency_MCL - CIL,0.0
categorical__Agency_M/S SRC company Infra Private Limited,0.0
categorical__Agency_Department of Telecommunications [DoT],0.0
categorical__Agency_Karnataka Rail Infrastructure Development Company Limited [K-RIDE],0.0
categorical__Agency_Jaipur Metro Rail Corporation,0.0
categorical__Agency_Irrigation and CAD-TG,0.0
categorical__Agency_Irrigation-UK,0.0
"categorical__Agency_Indian intitue of Management, Amritsar",0.0
categorical__Agency_Indian Railway,0.0
categorical__Agency_Indian Port Rail & Ropeway Corporation Ltd. [IPRCL],0.0
categorical__Agency_Irrigation & Water Resources-UP,0.0
"categorical__Agency_Indian Institutes of Science Education and Research, Behrampur",0.0
"categorical__Agency_Indian Institute of Technology, Mandi",0.0
categorical__State_Himachal Pradesh,0.0
categorical__State_Goa,0.0
categorical__State_Arunachal Pradesh,0.0
"categorical__State_Andaman &Nicobar",0.0
numeric__missingindicator_CurrentGapVsPreviousGap,0.0
categorical__Agency_Indian Oil Corporation Limited [IOCL],0.0
numeric__missingindicator_Prev_RobustGap,0.0
numeric__missingindicator_Prev_RobustExpenditurePct,0.0
"categorical__Agency_Indian Institute of Technology, Kharagpur",0.0
numeric__missingindicator_ProgressScheduleGap,0.0
categorical__Agency_Mumbai Rail Vikas Corporation Ltd.[MRVC],0.0
categorical__Agency_Mumbai Metro Rail Corporation Limited [MMRC],0.0
categorical__Agency_Ministry of Railways-,0.0
categorical__Agency_NER,0.0
categorical__Agency_Ministry of Railways,0.0
categorical__Agency_Ministry of Petroleum and Natural Gas,0.0
categorical__Agency_Maharashtra Metro Rail Corporation Limited [MMRCL],0.0
categorical__Agency_Mahanadi Coalfields Limited [MCL],0.0
categorical__Agency_Madhya Pradesh Metro Rail Co Limited [MPMRCL],0.0
categorical__Agency_MRIDC,0.0
categorical__Agency_National Hydroelectric Power Corporation Limited [NHPC],0.0
categorical__Agency_Delhi Metro Rail Corporation Limited [DMRC],0.0
categorical__Agency_National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],0.0
categorical__Agency_National High Speed Rail Corporation [NHSRC],0.0
"categorical__Agency_Narmada and Water Resources, Water Supply and Kalpsar Department-GJ",0.0
categorical__Agency_National Aluminium Company Limited [NALCO],0.0
categorical__Agency_NLC India Limited [NLCIL],0.0
categorical__Agency_NIT Sikkim,0.0
categorical__Agency_NIT Rourkela,0.0
categorical__Agency_NRL,0.0
categorical__Agency_NIT Nagaland,0.0
categorical__Agency_NIT Mizoram,0.0
categorical__Agency_NICDC,0.0
categorical__Agency_Northeast Frontier Railway [NFR] - II,0.0
categorical__Agency_Northeast Frontier Railway [NFR],0.0
categorical__Agency_North Eastern Railway [NER],0.0
categorical__Agency_North Eastern Electric Power Corporation Limited,0.0
categorical__Agency_NIT Patna,0.0
categorical__Agency_North Central Railway,0.0
categorical__Agency_Noida Metro Rail Corporation Ltd. [NMRCL],0.0
categorical__Agency_New Mangalore Port Authority,0.0
categorical__Agency_National Thermal Power Corporation [NTPC],0.0
categorical__Agency_National Mission for Clean Ganga,0.0
categorical__Agency_National Mineral Development Corporation Limited [NMDC],0.0
"categorical__Agency_National Institute of Technology, Puducherry",0.0
"categorical__Agency_National Institute of Technology, Meghalaya",0.0
"categorical__Agency_National Institute of Technology, Arunachal Pradesh",0.0
categorical__Agency_National Industrial Corridor Development Corporation,0.0
categorical__Agency_Railway,0.0
categorical__Agency_Rail Vikas Nigam Limited,0.0
categorical__Agency_Rail Land Development Authority,0.0
categorical__Agency_RVNL - II,0.0
categorical__Agency_RVNL - I,0.0
categorical__Agency_North Central Railway [NCR] - II,0.0
categorical__Agency_RVNL,0.0
categorical__Agency_RCIL,0.0
categorical__Agency_PMSSY AND Institute of NATIONAL Importance,0.0
categorical__Agency_Paradip Port Trust [PPT],0.0
categorical__Agency_PCE/WR,0.0
categorical__Agency_PCE/NCR,0.0
categorical__Agency_Northern Railways,0.0
categorical__Agency_Northern Coalfields Limited [NCL],0.0
categorical__Agency_Reliance Industries Ltd,0.0
numeric__missingindicator_RemainingPlannedDays,0.0
numeric__missingindicator_PlannedDurationDays,0.0
numeric__missingindicator_ElapsedDays,0.0
numeric__missingindicator_ProjectAgeDays,0.0
numeric__missingindicator_ProgressVelocity,0.0
numeric__missingindicator_Prev_ProgressRemaining,0.0
numeric__missingindicator_Prev_PhysicalProgress,0.0
numeric__InvalidPlannedDuration,0.0
categorical__Agency_Northen Railway [NR],0.0
categorical__Agency_Western Railway [WR] - II,0.0
categorical__Agency_Western Railway WR - II,0.0
categorical__Agency_Western Railway,0.0
categorical__Agency_West Central Railway [WCR] - II,0.0
categorical__Agency_Water Resources-MP,0.0
categorical__Agency_Water Resources-KA,0.0
categorical__Agency_Water Resources-CT,0.0
categorical__Agency_Water Resources-AP,0.0
categorical__Agency_Water Resources Department-MN,0.0
categorical__Agency_WPO/Patna,0.0
categorical__Agency_Uttar Pradesh metro rail corporation [UPMRC],0.0
categorical__Agency_Tezpur University,0.0
categorical__Agency_THDC India Limited,0.0
categorical__Agency_ministry of housing and urban affairs,0.0
