threshold,precision,recall,f1,alert_rate
0.1,0.4266,0.9613,0.5909,0.8545
0.15,0.4648,0.9542,0.6251,0.7784
0.2,0.4972,0.9225,0.6461,0.7036
0.25,0.5265,0.8732,0.657,0.6288
0.3,0.5587,0.838,0.6704,0.5688
0.35,0.5829,0.8169,0.6804,0.5314
0.4,0.6156,0.7782,0.6874,0.4793
0.45,0.6407,0.7535,0.6926,0.4459
0.5,0.6624,0.7254,0.6924,0.4152
0.55,0.6829,0.6901,0.6865,0.3832
0.6,0.7115,0.6514,0.6801,0.3471
