ProjectCode,ProjectName,ReportMonth,ActualOutcome,PredictedRisk,Feature,SHAPValue,Impact,Rank
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__CurrentExpenditureRatio,0.208244,Increases Risk,3
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__Physical Progress,0.191628,Increases Risk,4
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__missingindicator_Prev_Expenditure,0.160954,Increases Risk,5
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__RobustCurrentExpenditurePct,0.1592,Increases Risk,6
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__ProgressVelocity,-0.14408,Decreases Risk,7
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__RobustCurrentGap,-0.092078,Decreases Risk,8
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__Expenditure,0.091282,Increases Risk,9
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__Prev_RobustGap,-0.081703,Decreases Risk,10
400136,SANGHMITRA OC,2026-04-01,0,0.1455,categorical__State_Jharkhand,0.807062,Increases Risk,1
400136,SANGHMITRA OC,2026-04-01,0,0.1455,numeric__CurrentExpenditureRatio,-0.540279,Decreases Risk,2
400136,SANGHMITRA OC,2026-04-01,0,0.1455,numeric__RobustCurrentExpenditurePct,-0.471413,Decreases Risk,3
400136,SANGHMITRA OC,2026-04-01,0,0.1455,numeric__Expenditure,0.302544,Increases Risk,4
400136,SANGHMITRA OC,2026-04-01,0,0.1455,categorical__Agency_Ministry of Coal,0.276798,Increases Risk,5
400136,SANGHMITRA OC,2026-04-01,0,0.1455,numeric__OriginalCost,-0.210155,Decreases Risk,6
400136,SANGHMITRA OC,2026-04-01,0,0.1455,categorical__Agency_National Highways Authority of India [NHAI],-0.200612,Decreases Risk,7
